"unidade";"equipe";"ind_8.num";"ind_8.den";"ind_9.1.num";"ind_9.2.num";"ind_9.3.num";"ind_9.den";"ind_13.num";"ind_13.den";"ind_16.num";"ind_16.den";"ind_3.1";"ind_3.2";"ind_3.3";"ind_3.4";"ind_3.5";"ind_3.6";"ind_3.7";"ind_3.9";"ind_3.11";"ind_3.13";"ind_3.14"
"CS RIO VERMELHO";"423";"2091";"2166";"429";"1754";"1340";"2980";"866";"2622";"20";"99";"3196";"2633";"2328";"702";"278";"355";"818";"48";"9";"23";"491"
"CS RIO VERMELHO";"424";"1915";"1970";"346";"1719";"1235";"2641";"651";"2370";"19";"100";"2913";"2493";"2168";"623";"220";"360";"800";"43";"5";"19";"470"
"CS RIO VERMELHO";"425";"2002";"2061";"384";"1758";"1254";"2792";"572";"2330";"8";"92";"3102";"2658";"2343";"678";"217";"382";"897";"39";"2";"19";"526"
"CS SACO DOS LIMOES";"310";"2094";"2109";"369";"1739";"1385";"2824";"343";"2082";"10";"51";"3276";"2749";"2488";"706";"155";"490";"951";"79";"8";"10";"425"
"CS SACO DOS LIMOES";"311";"1649";"1653";"230";"1238";"1223";"2297";"333";"1571";"5";"46";"2731";"2238";"2212";"508";"109";"551";"1011";"64";"21";"13";"357"
"CS SACO DOS LIMOES";"312";"1495";"1500";"242";"1236";"1055";"2053";"259";"1496";"10";"33";"2316";"1959";"1865";"456";"136";"389";"653";"50";"2";"13";"355"
"CS SACO DOS LIMOES";"313";"1829";"1841";"337";"1221";"1389";"2458";"484";"1707";"23";"55";"2670";"1986";"2279";"605";"228";"184";"619";"67";"12";"23";"331"
"CS SACO DOS LIMOES";"314";"0";"0";NA;NA;NA;NA;"0";"0";NA;NA;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"CS SACO GRANDE";"330";"1853";"1876";"473";"1298";"1260";"2684";"338";"1636";"6";"25";"3042";"2638";"2373";"880";"244";"168";"766";"32";"17";"26";"200"
"CS SACO GRANDE";"331";"1657";"1684";"321";"1336";"1155";"2230";"194";"1533";"5";"42";"2430";"2079";"1919";"588";"154";"242";"585";"35";"4";"21";"341"
"CS SACO GRANDE";"332";"1980";"2017";"422";"1617";"1117";"2799";"249";"1867";"25";"78";"3129";"2702";"2210";"834";"217";"288";"766";"39";"8";"21";"397"
